@churn reason,@customers/revenue,@Lost/gain,@service_type,@symbol,@symcol survey,@Tree tooltip,Age,Age (bin),Age (group),Button_count,Button_revenue,Churn Category,Churn Reason,City,Contract,Customer ID,Customer Status,Customer Status (group),Device Protection Plan,dispaly,dispaly 2,dummy,Gender,Internet Service,Internet Type,Married,Monthly Charge (group),Multiple Lines,Offer,Online Backup,Online Security,Paperless Billing,Payment Method,Phone Service,Premium Tech Support,state,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months (bin),Unlimited Data,value,Zip Code,@ total revenue,@1.avg purchase value,@2.APFR,@3.Avg CV,@4.ACL,@5.CLTV,@churn  revenue label,@Churned revenue,@churned_revenure,@joined revenue label,@joined&stayed_revenure,@monthly charge LTV,@new customer,#NAME?,@tenure_LTV,@Total Revenue in 1-year,Avg monthly charge,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Avg Revenue per month,Latitude,Longitude,min,Monthly charg_cal,Monthly Charge,Number of Dependents,Number of Referrals,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,zero
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,37,32,35-44,TRUE,FALSE,,,Frazier Park,One Year,0002-ORFBO,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Cable,Married,$60 to < $75,No,None,Yes,No,Yes,Credit Card,Yes,Yes,California,No,No,Yes,<1,Yes,Low Monthly charge & Shorter Tenure,93225,0.00097481,65.92222222,9,593.3,0.75,444.975,,,,,974.81,65.92222222,1,974.81,9,593.3,108.3122222,16,42.39,108.3122222,34.827662,-118.999073,-1,65.92222222,65.6,0,2,9,593.3,0,381.51,0,974.81,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,46,40,45-54,TRUE,FALSE,,,Glendale,Month to Month,0003-MKNFE,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Male,Yes,Cable,Not married,<$15,Yes,None,No,No,No,Credit Card,Yes,No,California,Yes,Yes,No,<1,No,Low Monthly charge & Shorter Tenure,91206,0.00061028,60.26666667,9,542.4,0.75,406.8,,,,,610.28,60.26666667,1,610.28,9,542.4,67.80888889,10,10.69,67.80888889,34.162515,-118.203869,-1,60.26666667,-4,0,0,9,542.4,10,96.21,38.33,610.28,0
Competitor had better devices,# Of Churned Customers,Lost,,►,▼,Total Churned Customers,50,48,45-54,TRUE,FALSE,Competitor,Competitor had better devices,Costa Mesa,Month to Month,0004-TLHLJ,Churned,Churned,Yes,count,Joined & Stayed,dummy,Male,Yes,Fiber Optic,Not married,$60 to < $75,No,Offer E,No,No,Yes,Bank Withdrawal,Yes,No,California,No,No,No,<1,Yes,Low Monthly charge & Shorter Tenure,92627,0.00041545,70.2125,4,280.85,0.333333333,93.61666667,,$0.00M,415.45,,,70.2125,0,,4,280.85,103.8625,30,33.65,103.8625,33.645672,-117.922613,-1,70.2125,73.9,0,0,4,280.85,0,134.6,0,415.45,0
,# Of Churned Customers,Lost,,►,►,Total Churned Customers,78,72,65>,TRUE,FALSE,Dissatisfaction,Product dissatisfaction,Martinez,Month to Month,0011-IGKFF,Churned,Churned,Yes,count,Joined & Stayed,dummy,Male,Yes,Fiber Optic,Married,$90 to < $105,No,Offer D,Yes,No,Yes,Bank Withdrawal,Yes,No,California,Yes,No,Yes,1 to <2,Yes,High Monthly charge & Shorter Tenure,94553,0.00159951,95.21923077,12,1142.630769,1.083333333,1237.85,,$0.00M,1599.51,,,95.21923077,0,,12,1142.630769,123.0392308,4,27.82,123.0392308,38.014457,-122.115432,-1,95.21923077,98,0,1,13,1237.85,0,361.66,0,1599.51,0
,# Of Churned Customers,Lost,,►,►,Total Churned Customers,75,72,65>,TRUE,FALSE,Dissatisfaction,Network reliability,Camarillo,Month to Month,0013-EXCHZ,Churned,Churned,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,$75 to < $90,No,None,No,No,Yes,Credit Card,Yes,Yes,California,No,No,Yes,<1,Yes,Low Monthly charge & Shorter Tenure,93010,0.00028954,89.13333333,3,267.4,0.25,66.85,,$0.00M,289.54,,,89.13333333,0,,3,267.4,96.51333333,11,7.38,96.51333333,34.227846,-119.079903,-1,89.13333333,83.9,0,3,3,267.4,0,22.14,0,289.54,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,23,16,<25,TRUE,FALSE,,,Midpines,Month to Month,0013-MHZWF,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$60 to < $75,No,Offer E,No,No,Yes,Credit Card,Yes,Yes,California,Yes,Yes,Yes,<1,Yes,Low Monthly charge & Shorter Tenure,95345,0.00072238,63.49444444,9,571.45,0.75,428.5875,,,,,722.38,63.49444444,1,722.38,9,571.45,80.26444444,73,16.77,80.26444444,37.581496,-119.972762,-1,63.49444444,69.4,3,0,9,571.45,0,150.93,0,722.38,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,67,64,65>,TRUE,FALSE,,,Lompoc,Two Year,0013-SMEOE,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,>= $105,No,Offer A,Yes,Yes,Yes,Bank Withdrawal,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,High Monthly charge & Longer Tenure,93437,0.00861141,111.3274648,12,1335.929577,5.916666667,7904.25,,,,,8611.41,111.3274648,0,8611.41,12,1335.929577,121.2874648,14,9.96,121.2874648,34.757477,-120.550507,-1,111.3274648,109.7,0,1,71,7904.25,0,707.16,0,8611.41,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,52,48,45-54,TRUE,FALSE,,,Napa,Two Year,0014-BMAQU,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Male,Yes,Fiber Optic,Married,$75 to < $90,Yes,Offer B,No,Yes,Yes,Credit Card,Yes,Yes,California,No,No,No,5 to <6,No,Low Monthly charge & Longer Tenure,94558,0.00621428,85.36190476,12,1024.342857,5.25,5377.8,,,,,6214.28,85.36190476,0,6214.28,12,1024.342857,98.63936508,7,12.96,98.63936508,38.489789,-122.27011,-1,85.36190476,84.65,0,8,63,5377.8,20,816.48,0,6214.28,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,68,64,65>,TRUE,FALSE,,,Simi Valley,Two Year,0015-UOCOJ,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$45 to < $60,No,Offer E,No,Yes,Yes,Bank Withdrawal,Yes,No,California,No,No,No,<1,Yes,Low Monthly charge & Shorter Tenure,93063,0.00041406,48.62142857,7,340.35,0.583333333,198.5375,,,,,414.06,48.62142857,1,414.06,7,340.35,59.15142857,21,10.53,59.15142857,34.296813,-118.685703,-1,48.62142857,48.2,0,0,7,340.35,0,73.71,0,414.06,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,43,40,35-44,TRUE,FALSE,,,Sheridan,Two Year,0016-QLJIS,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Cable,Married,$90 to < $105,Yes,None,Yes,Yes,Yes,Credit Card,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,Low Monthly charge & Longer Tenure,95681,0.0078078,91.66,12,1099.92,5.416666667,5957.9,,,,,7807.8,91.66,0,7807.8,12,1099.92,120.12,14,28.46,120.12,38.984756,-121.345074,-1,91.66,90.45,1,3,65,5957.9,0,1849.9,0,7807.8,0
